,Name,obs_time,Primary eclipse observable?,Eclipse Begin,Eclipse End
0,KELT-10 b,2020-04-02 01:02:54.112,False,2020-04-02 02:55:13.312,2020-04-02 02:55:13.312
1,KELT-10 b,2020-04-06 05:02:20.177,True,2020-04-06 06:54:39.377,2020-04-06 06:54:39.377
2,KELT-10 b,2020-04-10 09:01:46.242,False,2020-04-10 10:54:05.442,2020-04-10 10:54:05.442
3,KELT-10 b,2020-04-14 13:01:12.307,False,2020-04-14 14:53:31.507,2020-04-14 14:53:31.507
4,KELT-10 b,2020-04-18 17:00:38.372,False,2020-04-18 18:52:57.572,2020-04-18 18:52:57.572
5,KELT-10 b,2020-04-22 21:00:04.437,False,2020-04-22 22:52:23.637,2020-04-22 22:52:23.637
6,KELT-10 b,2020-04-27 00:59:30.502,False,2020-04-27 02:51:49.702,2020-04-27 02:51:49.702
7,KELT-10 b,2020-05-01 04:58:56.567,True,2020-05-01 06:51:15.767,2020-05-01 06:51:15.767
8,KELT-10 b,2020-05-05 08:58:22.632,False,2020-05-05 10:50:41.832,2020-05-05 10:50:41.832
9,KELT-10 b,2020-05-09 12:57:48.697,False,2020-05-09 14:50:07.897,2020-05-09 14:50:07.897
10,KELT-10 b,2020-05-13 16:57:14.762,False,2020-05-13 18:49:33.962,2020-05-13 18:49:33.962
11,KELT-10 b,2020-05-17 20:56:40.827,False,2020-05-17 22:49:00.027,2020-05-17 22:49:00.027
12,KELT-10 b,2020-05-22 00:56:06.892,False,2020-05-22 02:48:26.092,2020-05-22 02:48:26.092
13,KELT-10 b,2020-05-26 04:55:32.956,True,2020-05-26 06:47:52.156,2020-05-26 06:47:52.156
14,KELT-10 b,2020-05-30 08:54:59.021,False,2020-05-30 10:47:18.221,2020-05-30 10:47:18.221
15,KELT-10 b,2020-06-03 12:54:25.086,False,2020-06-03 14:46:44.286,2020-06-03 14:46:44.286
16,KELT-10 b,2020-06-07 16:53:51.151,False,2020-06-07 18:46:10.351,2020-06-07 18:46:10.351
17,KELT-10 b,2020-06-11 20:53:17.216,False,2020-06-11 22:45:36.416,2020-06-11 22:45:36.416
18,KELT-10 b,2020-06-16 00:52:43.281,True,2020-06-16 02:45:02.481,2020-06-16 02:45:02.481
19,KELT-10 b,2020-06-20 04:52:09.346,True,2020-06-20 06:44:28.546,2020-06-20 06:44:28.546
20,KELT-10 b,2020-06-24 08:51:35.411,False,2020-06-24 10:43:54.611,2020-06-24 10:43:54.611
21,KELT-10 b,2020-06-28 12:51:01.476,False,2020-06-28 14:43:20.676,2020-06-28 14:43:20.676
22,KELT-10 b,2020-07-02 16:50:27.541,False,2020-07-02 18:42:46.741,2020-07-02 18:42:46.741
23,KELT-14 b,2020-04-01 19:25:25.373,False,2020-04-01 20:31:03.917,2020-04-01 20:31:03.917
24,KELT-14 b,2020-04-03 12:27:54.264,False,2020-04-03 13:33:32.808,2020-04-03 13:33:32.808
25,KELT-14 b,2020-04-05 05:30:23.154,False,2020-04-05 06:36:01.698,2020-04-05 06:36:01.698
26,KELT-14 b,2020-04-06 22:32:52.044,False,2020-04-06 23:38:30.588,2020-04-06 23:38:30.588
27,KELT-14 b,2020-04-08 15:35:20.934,False,2020-04-08 16:40:59.478,2020-04-08 16:40:59.478
28,KELT-14 b,2020-04-10 08:37:49.825,False,2020-04-10 09:43:28.369,2020-04-10 09:43:28.369
29,KELT-14 b,2020-04-12 01:40:18.715,False,2020-04-12 02:45:57.259,2020-04-12 02:45:57.259
30,KELT-14 b,2020-04-13 18:42:47.605,False,2020-04-13 19:48:26.149,2020-04-13 19:48:26.149
